Reading xml
not well-formed (invalid token): line 1, column 0
syntax error: line 1, column 0
20000000 records processed.   @2014-07-05T19:11:19.023
20100000 records processed.   @2014-07-13T03:52:35.510
20200000 records processed.   @2014-07-20T04:20:03.967
20300000 records processed.   @2014-07-26T19:37:14.273
20400000 records processed.   @2014-08-03T06:00:29.870
20500000 records processed.   @2014-08-10T16:11:08.717
20600000 records processed.   @2014-08-18T06:53:23.930
20700000 records processed.   @2014-08-25T12:42:17.697
20800000 records processed.   @2014-09-02T01:37:53.087
20900000 records processed.   @2014-09-09T11:34:36.580
21000000 records processed.   @2014-09-16T15:13:39.623
21100000 records processed.   @2014-09-23T18:04:28.847
21200000 records processed.   @2014-09-30T21:34:50.113
21300000 records processed.   @2014-10-08T14:29:38.350
21400000 records processed.   @2014-10-15T17:06:46.753
21500000 records processed.   @2014-10-22T21:02:00.797
21600000 records processed.   @2014-10-30T05:33:09.287
21700000 records processed.   @2014-11-06T08:05:51.997
21800000 records processed.   @2014-11-13T06:59:12.063
21900000 records processed.   @2014-11-20T05:09:49.200
22000000 records processed.   @2014-11-27T00:31:07.913
22100000 records processed.   @2014-12-04T09:43:38.693
22200000 records processed.   @2014-12-11T10:14:28.040
22300000 records processed.   @2014-12-18T15:41:03.347
22400000 records processed.   @2014-12-28T21:20:02.687
22500000 records processed.   @2015-01-06T23:53:56.733
22600000 records processed.   @2015-01-14T08:41:21.433
22700000 records processed.   @2015-01-21T11:58:06.313
22800000 records processed.   @2015-01-28T14:55:39.423
22900000 records processed.   @2015-02-04T14:20:40.787
23000000 records processed.   @2015-02-11T10:01:45.047
23100000 records processed.   @2015-02-18T08:41:46.397
23200000 records processed.   @2015-02-24T21:23:57.317
23300000 records processed.   @2015-03-03T14:35:46.123
23400000 records processed.   @2015-03-10T10:57:35.780
23500000 records processed.   @2015-03-17T00:26:32.240
23600000 records processed.   @2015-03-23T18:03:19.253
23700000 records processed.   @2015-03-30T11:42:36.237
23800000 records processed.   @2015-04-06T14:28:59.963
23900000 records processed.   @2015-04-13T08:03:16.910
24000000 records processed.   @2015-04-19T05:09:33.477
24100000 records processed.   @2015-04-24T14:30:20.187
24200000 records processed.   @2015-04-30T18:23:57.673
24300000 records processed.   @2015-05-07T12:07:05.547
24400000 records processed.   @2015-05-13T22:54:42.243
24500000 records processed.   @2015-05-20T15:04:31.307
24600000 records processed.   @2015-05-27T10:50:28.207
24700000 records processed.   @2015-06-02T21:04:18.367
24800000 records processed.   @2015-06-09T13:13:39.797
24900000 records processed.   @2015-06-16T05:39:17.550
25000000 records processed.   @2015-06-22T17:39:28.450
25100000 records processed.   @2015-06-29T10:02:45.117
25200000 records processed.   @2015-07-06T06:44:42.580
25300000 records processed.   @2015-07-12T06:38:40.020
25400000 records processed.   @2015-07-18T12:08:24.340
25500000 records processed.   @2015-07-24T17:40:15.873
25600000 records processed.   @2015-07-31T09:19:07.257
25700000 records processed.   @2015-08-07T01:31:52.357
25800000 records processed.   @2015-08-13T18:32:20.090
25900000 records processed.   @2015-08-20T15:20:55.413
26000000 records processed.   @2015-08-27T11:01:42.700
26100000 records processed.   @2015-09-03T10:49:24.960
26200000 records processed.   @2015-09-10T11:58:05.947
26300000 records processed.   @2015-09-17T10:29:55.627
26400000 records processed.   @2015-09-24T06:36:08.777
26500000 records processed.   @2015-10-01T07:34:14.923
26600000 records processed.   @2015-10-08T07:29:47.487
26700000 records processed.   @2015-10-14T22:19:13.140
26800000 records processed.   @2015-10-21T16:40:03.663
26900000 records processed.   @2015-10-28T13:19:13.377
27000000 records processed.   @2015-11-04T11:13:17.903
27100000 records processed.   @2015-11-11T09:54:23.190
27200000 records processed.   @2015-11-18T08:38:41.267
27300000 records processed.   @2015-11-24T19:56:33.370
27400000 records processed.   @2015-12-01T22:09:40.577
27500000 records processed.   @2015-12-08T15:54:55.970
27600000 records processed.   @2015-12-15T10:59:57.227
27700000 records processed.   @2015-12-22T11:18:52.037
27800000 records processed.   @2015-12-31T06:48:24.893
27900000 records processed.   @2016-01-08T05:19:57.913
28000000 records processed.   @2016-01-14T18:50:36.740
28100000 records processed.   @2016-01-21T13:17:38.237
28200000 records processed.   @2016-01-28T02:42:09.350
28300000 records processed.   @2016-02-03T14:19:12.253
28400000 records processed.   @2016-02-10T05:41:38.933
28500000 records processed.   @2016-02-16T15:49:46.427
28600000 records processed.   @2016-02-22T22:33:53.667
28700000 records processed.   @2016-02-29T06:44:47.767
28800000 records processed.   @2016-03-05T23:59:33.343
28900000 records processed.   @2016-03-11T21:26:33.080
29000000 records processed.   @2016-03-18T08:12:11.230
29100000 records processed.   @2016-03-24T20:06:04.797
